,ID,RoomID,Huihe,RoundColor,StageShoot,Yanhu,ObjID,ObjName,ObjColor,ObjA1,ObjType,ObjKeep,ObjNum,ObjPass,TarID,TarUserID,TarName,TarColor,TarB0,TarType,TarHide,TarKeep,TarPass,TarStack,WeaponID,WeaponF1,WeaponName,Dist,EleDiff,AttackLevel,TarPos,TarHex,RandomNum1,Result1,RandomNum2,Diff,Result,Keep,Kills,TarLost,TarNum,Flag,UserRead,Title,Filename
11,1810,11,20,BLUE,0,0,13343,坦克,BLUE,1,2,0,3,0,13353,51,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,2,0,10,80048,51,12,3,6,0,3,20,1,3,0,0,|51|,推演室11,2018530151212 01-05-03-03-02 推演室11
12,1800,11,18,BLUE,0,0,13353,中型战车,RED,0,2,0,3,0,13509,39,步兵小队,BLUE,0,1,0,0,1,1,56,12,速射炮,1,0,8,80050,51,12,2,8,0,2,18,0,2,1,0,|39|,推演室11,2018530151212 01-05-03-03-02 推演室11
13,1808,11,19,RED,1,0,13353,中型战车,RED,0,2,0,3,0,13511,39,步兵小队,BLUE,0,1,0,0,0,1,43,3,车载轻武器,1,0,4,80050,51,3,0,8,1,1,19,0,1,2,0,|39|,推演室11,2018530151212 01-05-03-03-02 推演室11
14,1771,11,14,BLUE,0,0,13342,坦克,BLUE,1,2,0,1,0,13348,51,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,7,0,9,110038,0,9,2,8,0,2,14,0,2,1,0,|51|,推演室11,2018530151212 01-05-03-03-02 推演室11
15,1743,9,9,RED,0,0,13324,重型坦克,RED,1,2,0,3,0,13321,41,战车,BLUE,3,2,0,0,0,0,37,11,中号直瞄炮,4,-1,9,90055,0,6,1,6,0,1,9,0,1,2,0,|41|41|,推演室9,2018530151256 01-05-03-03-02 推演室9
16,1744,9,9,RED,0,0,13321,战车,BLUE,0,2,9,2,0,13329,30,中型战车,RED,2,2,0,0,1,0,54,11,小号直瞄炮,2,1,7,100053,51,11,0,8,0,0,0,0,0,3,0,|30|,推演室9,2018530151256 01-05-03-03-02 推演室9
17,1751,9,10,BLUE,0,0,13319,坦克,BLUE,1,2,0,3,0,13329,30,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,8,1,9,100053,51,11,2,10,1,3,10,1,3,0,0,|30|,推演室9,2018530151256 01-05-03-03-02 推演室9
18,1765,9,13,RED,0,0,13325,重型坦克,RED,1,2,0,3,0,13514,41,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,1,0,5,90052,51,6,0,5,0,0,0,0,0,3,0,|41|,推演室9,2018530151256 01-05-03-03-02 推演室9
19,1766,9,13,RED,0,0,13514,步兵小队,BLUE,0,1,0,3,0,13325,30,重型坦克,RED,3,2,0,0,1,0,71,5,便携导弹,1,0,7,90051,39,8,2,4,0,2,13,0,2,1,0,|30|,推演室9,2018530151256 01-05-03-03-02 推演室9
20,1780,9,15,RED,0,0,13323,战车,BLUE,0,2,0,3,0,13327,30,中型战车,RED,2,2,0,0,1,0,69,5,车载导弹,16,0,8,100044,0,7,3,6,0,3,15,1,3,0,0,|30|,推演室9,2018530151256 01-05-03-03-02 推演室9
21,1746,9,9,RED,0,0,13325,重型坦克,RED,1,2,0,3,0,13321,41,战车,BLUE,3,2,0,9,0,0,37,11,中号直瞄炮,4,-1,9,90055,0,8,2,8,0,2,9,1,2,0,0,|41|,推演室9,2018530151256 01-05-03-03-02 推演室9
22,1753,9,11,RED,0,0,13325,重型坦克,RED,1,2,0,3,0,13514,41,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,1,1,3,90052,51,8,0,5,0,0,0,0,0,3,0,|41|41|,推演室9,2018530151256 01-05-03-03-02 推演室9
23,1767,9,13,RED,0,0,13512,步兵小队,BLUE,0,1,0,3,0,13325,30,重型坦克,RED,3,2,0,13,1,0,71,5,便携导弹,1,0,7,90052,51,2,1,10,0,1,13,1,1,0,0,|30|,推演室9,2018530151256 01-05-03-03-02 推演室9
24,1809,8,18,BLUE,0,0,13307,坦克,BLUE,1,2,0,3,0,13538,49,步兵小队,RED,0,1,0,0,0,0,36,11,大号直瞄炮,1,0,5,80047,51,11,0,10,1,1,18,0,1,2,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
25,1781,8,14,BLUE,0,0,13307,坦克,BLUE,1,2,0,3,0,13313,49,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,2,0,10,100047,51,10,2,8,0,2,14,0,2,1,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
26,1791,8,15,RED,0,0,13306,坦克,BLUE,1,2,0,3,0,13312,49,重型坦克,RED,3,2,0,0,2,0,36,11,大号直瞄炮,7,0,9,100035,170,5,1,4,0,1,15,0,1,2,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
27,1796,8,16,BLUE,0,0,13306,坦克,BLUE,1,2,0,3,0,13312,49,重型坦克,RED,3,2,0,15,2,0,36,11,大号直瞄炮,6,0,9,110036,66,11,2,10,2,4,16,1,2,0,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
28,1797,8,16,BLUE,0,0,13307,坦克,BLUE,1,2,0,3,0,13315,49,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,1,0,10,90046,51,11,3,10,1,4,16,1,3,0,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
29,1782,8,14,BLUE,1,0,13306,坦克,BLUE,1,2,0,3,0,13313,49,重型坦克,RED,3,2,0,14,0,0,36,11,大号直瞄炮,2,0,10,100047,51,4,1,9,0,1,14,1,1,0,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
30,1813,8,20,BLUE,1,0,13307,坦克,BLUE,1,2,0,3,0,13538,49,步兵小队,RED,0,1,0,0,0,0,36,11,大号直瞄炮,1,0,5,80047,51,6,0,5,0,0,0,0,0,2,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
31,1814,8,20,BLUE,1,0,13538,步兵小队,RED,0,1,0,2,0,13307,52,坦克,BLUE,4,2,0,0,0,0,71,5,便携导弹,1,0,7,90046,51,10,0,10,0,0,0,0,0,3,0,|52|,推演室8,2018530151435 01-05-03-03-02 推演室8
32,1768,8,12,BLUE,0,0,13306,坦克,BLUE,1,2,0,3,0,13317,49,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,9,0,8,60034,0,7,3,6,0,3,12,1,3,0,0,|49|,推演室8,2018530151435 01-05-03-03-02 推演室8
33,1806,8,17,RED,1,0,13523,步兵小队,RED,0,1,0,3,0,13306,52,坦克,BLUE,4,2,0,0,0,0,71,5,便携导弹,10,-1,8,90045,0,9,2,8,0,2,17,0,2,1,0,|52|,推演室8,2018530151435 01-05-03-03-02 推演室8
34,1836,3,9,RED,0,0,13481,重型坦克,RED,1,2,0,3,0,13477,54,战车,BLUE,3,2,0,0,0,0,37,11,中号直瞄炮,1,0,10,100049,51,10,2,10,0,2,9,0,2,1,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
35,1843,3,10,BLUE,0,0,13474,坦克,BLUE,1,2,0,3,0,13592,55,步兵小队,RED,0,1,0,0,0,0,36,11,大号直瞄炮,1,0,5,80046,28,8,0,7,0,0,0,0,0,3,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
36,1844,3,10,BLUE,0,0,13485,中型战车,RED,0,2,0,3,0,13474,54,坦克,BLUE,4,2,0,0,1,0,69,5,车载导弹,8,-1,8,70047,0,3,1,8,0,1,10,0,1,2,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
37,1859,3,14,BLUE,0,0,13475,坦克,BLUE,1,2,0,3,0,13485,55,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,11,1,8,50036,51,12,1,5,0,1,14,0,1,2,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
38,1860,3,14,BLUE,0,0,13485,中型战车,RED,0,2,14,2,0,13475,54,坦克,BLUE,4,2,0,0,1,0,69,5,车载导弹,11,-1,8,70053,28,6,1,5,-2,0,0,0,0,3,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
39,1845,3,10,BLUE,1,0,13592,步兵小队,RED,0,1,0,3,0,13479,54,战车,BLUE,3,2,0,0,1,1,0,0,,0,0,6,80046,28,10,1,7,0,1,10,0,1,2,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
40,1846,3,10,BLUE,1,0,13479,战车,BLUE,0,2,0,2,0,13592,55,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,10,80046,28,9,1,8,1,2,10,0,2,1,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
41,1848,3,10,BLUE,2,0,13479,战车,BLUE,0,2,0,2,0,13592,55,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,10,80046,28,5,1,0,0,1,0,1,1,0,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
42,1854,3,13,RED,0,0,13480,重型坦克,RED,1,2,0,3,0,13605,54,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,1,0,5,80049,26,11,0,10,1,1,13,0,1,2,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
43,1855,3,13,RED,0,0,13605,步兵小队,BLUE,0,1,13,2,0,13480,55,重型坦克,RED,3,2,0,0,1,0,71,5,便携导弹,1,0,7,80048,51,3,1,6,0,1,13,0,1,2,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
44,1865,3,15,RED,0,0,13606,步兵小队,BLUE,0,1,0,3,0,13481,55,重型坦克,RED,3,2,0,0,1,0,71,5,便携导弹,1,0,7,100049,51,7,2,6,0,2,15,0,2,1,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
45,1913,3,18,BLUE,0,0,13475,坦克,BLUE,1,2,0,3,0,13481,55,重型坦克,RED,3,2,0,15,0,0,36,11,大号直瞄炮,1,0,10,110048,51,3,3,8,0,3,18,1,1,0,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
46,1838,3,9,RED,0,0,13480,重型坦克,RED,1,2,0,3,0,13477,54,战车,BLUE,3,2,0,9,0,0,37,11,中号直瞄炮,3,0,9,100049,51,8,2,7,0,2,9,1,1,0,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
47,1847,3,10,BLUE,2,0,13592,步兵小队,RED,0,1,0,1,0,13479,54,战车,BLUE,3,2,0,0,0,1,0,0,,0,0,2,80046,28,12,0,0,0,0,0,0,0,2,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
48,1849,3,11,RED,0,0,13480,重型坦克,RED,1,2,0,3,0,13474,54,坦克,BLUE,4,2,0,10,0,0,37,11,中号直瞄炮,2,0,10,70051,28,9,2,8,0,2,11,1,2,0,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
49,1850,3,11,RED,1,0,13485,中型战车,RED,0,2,0,3,0,13479,54,战车,BLUE,3,2,0,0,0,0,69,5,车载导弹,8,-1,8,80046,28,2,1,8,0,1,11,0,1,1,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
50,1831,3,8,BLUE,0,0,13474,坦克,BLUE,1,2,0,3,0,13483,55,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,3,0,10,80044,28,2,3,10,1,4,8,1,3,0,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
51,1832,3,8,BLUE,0,0,13485,中型战车,RED,0,2,0,3,0,13474,54,坦克,BLUE,4,2,0,0,1,0,56,12,速射炮,9,-1,2,70049,128,9,0,8,0,0,0,0,0,3,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
52,1864,3,15,RED,0,0,13481,重型坦克,RED,1,2,0,3,0,13479,54,战车,BLUE,3,2,0,0,0,0,37,11,中号直瞄炮,4,0,9,90054,0,4,1,9,0,1,15,1,1,0,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
53,1871,3,15,RED,0,0,13480,重型坦克,RED,1,2,0,2,0,13605,54,步兵小队,BLUE,0,1,0,13,0,0,37,11,中号直瞄炮,1,0,3,80049,26,7,0,6,0,0,0,0,0,2,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
54,1880,3,16,BLUE,0,0,13485,中型战车,RED,0,2,0,2,0,13475,54,坦克,BLUE,4,2,0,0,1,0,69,5,车载导弹,12,-1,8,70055,28,10,1,5,-1,0,16,0,0,3,0,|,推演室3,201853015400 01-05-03-03-02 推演室3
55,1881,3,16,BLUE,0,0,13475,坦克,BLUE,1,2,16,3,0,13485,55,中型战车,RED,2,2,0,0,0,0,36,11,大号直瞄炮,12,1,7,50036,51,7,2,6,0,2,16,1,2,0,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
56,1900,3,17,RED,0,0,13481,重型坦克,RED,1,2,15,1,0,13606,54,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,1,0,2,100051,0,3,0,8,0,0,17,0,0,3,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
57,1902,3,17,RED,0,0,13480,重型坦克,RED,1,2,0,2,0,13605,54,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,1,0,3,80049,26,11,0,5,0,0,17,0,0,2,0,|54|,推演室3,201853015400 01-05-03-03-02 推演室3
58,1929,3,20,BLUE,0,0,13475,坦克,BLUE,1,2,0,3,0,13480,55,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,1,0,10,80046,28,4,1,9,0,1,20,0,1,1,0,|55|,推演室3,201853015400 01-05-03-03-02 推演室3
59,1937,3,20,BLUE,1,0,13480,重型坦克,RED,1,2,20,1,0,13475,54,坦克,BLUE,4,2,0,0,1,1,0,0,,0,0,10,80046,28,12,0,5,-1,0,0,0,0,3,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
60,1938,3,20,BLUE,1,0,13475,坦克,BLUE,1,2,0,3,0,13480,55,重型坦克,RED,3,2,0,20,0,1,0,0,,0,0,10,80046,28,6,1,5,0,1,20,1,1,0,0,|54|55|,推演室3,201853015400 01-05-03-03-02 推演室3
61,1835,6,6,BLUE,0,0,13527,坦克,BLUE,1,2,0,3,0,13532,44,重型坦克,RED,3,2,0,6,0,0,36,11,大号直瞄炮,12,0,7,100037,0,4,1,4,0,1,6,0,1,1,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
62,1852,6,9,RED,0,0,13533,重型坦克,RED,1,2,0,3,0,13527,50,坦克,BLUE,4,2,0,0,0,0,37,11,中号直瞄炮,5,0,9,80055,0,11,2,10,0,2,9,0,2,1,0,|50|,推演室6,201853015441 01-05-03-03-02 推演室6
63,1856,6,11,RED,0,0,13533,重型坦克,RED,1,2,0,3,0,13531,50,战车,BLUE,3,2,0,0,0,0,37,11,中号直瞄炮,11,-1,6,100070,51,2,1,8,0,1,11,0,1,2,0,|50|,推演室6,201853015441 01-05-03-03-02 推演室6
64,1857,6,11,RED,0,0,13531,战车,BLUE,0,2,11,2,0,13533,44,重型坦克,RED,3,2,0,0,1,0,69,5,车载导弹,11,1,8,110049,51,10,1,10,0,1,11,0,1,2,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
65,1904,6,14,BLUE,1,0,13531,战车,BLUE,0,2,0,2,0,13533,44,重型坦克,RED,3,2,0,12,0,0,69,5,车载导弹,13,1,8,110047,27,7,2,6,0,2,14,1,1,0,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
66,1834,6,6,BLUE,0,0,13526,坦克,BLUE,1,2,0,3,0,13532,44,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,12,0,7,100037,0,4,1,4,0,1,6,0,1,2,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
67,1841,6,7,RED,0,0,13533,重型坦克,RED,1,2,0,3,0,13526,50,坦克,BLUE,4,2,0,0,0,0,37,11,中号直瞄炮,5,-1,9,90056,0,6,1,5,-1,0,7,0,0,3,0,|50|,推演室6,201853015441 01-05-03-03-02 推演室6
68,1966,6,20,BLUE,0,0,13527,坦克,BLUE,1,2,0,1,0,13537,44,中型战车,RED,2,2,2,0,0,0,36,11,大号直瞄炮,10,1,8,60032,0,11,0,10,0,0,0,0,0,3,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
69,1967,6,20,BLUE,0,0,13537,中型战车,RED,0,2,0,3,0,13527,50,坦克,BLUE,4,2,0,0,1,0,69,5,车载导弹,10,-1,8,80049,51,7,3,6,-1,2,20,1,1,0,0,|50|,推演室6,201853015441 01-05-03-03-02 推演室6
70,1837,6,6,BLUE,1,0,13529,战车,BLUE,0,2,0,3,0,13532,44,重型坦克,RED,3,2,0,6,0,0,69,5,车载导弹,20,0,8,100037,0,7,3,6,0,3,6,1,1,0,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
71,1940,6,18,BLUE,0,0,13527,坦克,BLUE,1,2,0,1,0,13537,44,中型战车,RED,2,2,2,0,0,0,36,11,大号直瞄炮,10,1,8,60032,0,10,0,7,0,0,0,0,0,3,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
72,1866,6,12,BLUE,1,0,13531,战车,BLUE,0,2,11,2,0,13533,44,重型坦克,RED,3,2,0,11,0,0,69,5,车载导弹,13,1,8,110047,27,6,1,5,0,1,12,0,1,1,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
73,1894,6,13,RED,1,0,13531,战车,BLUE,0,2,0,2,0,13533,44,重型坦克,RED,3,2,0,12,0,0,69,5,车载导弹,13,1,8,110047,27,8,0,8,0,0,0,0,0,1,0,|44|,推演室6,201853015441 01-05-03-03-02 推演室6
74,1959,5,17,RED,1,0,13608,步兵小队,RED,0,1,0,1,0,13610,30,步兵小队,BLUE,0,1,0,0,0,0,29,12,人员轻武器,1,0,1,90052,51,8,0,8,0,0,0,0,0,1,0,|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
75,1962,5,18,BLUE,0,0,13542,坦克,BLUE,1,2,17,2,0,13548,41,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,1,0,10,80048,51,3,1,8,0,1,18,0,1,1,0,|41|41|41|41|41|41|41|41|,推演室5,2018530154639 01-05-03-03-02 推演室5
76,1976,5,20,BLUE,1,0,13608,步兵小队,RED,0,1,0,1,0,13544,30,战车,BLUE,3,2,0,19,1,1,0,0,,0,0,2,80051,51,4,0,9,0,0,0,0,0,2,0,|30|41|,推演室5,2018530154639 01-05-03-03-02 推演室5
77,1858,5,9,RED,1,0,13607,步兵小队,BLUE,0,1,0,2,0,13552,41,中型战车,RED,2,2,0,0,0,1,71,5,便携导弹,5,0,8,90046,51,2,1,7,0,1,9,0,1,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
78,1969,5,18,BLUE,1,0,13608,步兵小队,RED,0,1,0,1,0,13610,30,步兵小队,BLUE,0,1,0,0,1,1,0,0,,0,0,2,80051,51,2,0,7,0,0,18,0,0,0,0,|30|30|41|,推演室5,2018530154639 01-05-03-03-02 推演室5
79,1861,5,10,BLUE,0,0,13552,中型战车,RED,0,2,9,2,0,13607,30,步兵小队,BLUE,0,1,0,0,1,0,56,12,速射炮,3,0,6,100049,51,12,1,5,0,1,10,0,1,1,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
80,1851,5,7,RED,0,0,13547,重型坦克,RED,1,2,0,3,0,13607,30,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,2,0,5,100053,51,11,0,10,1,1,7,0,1,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
81,1862,5,10,BLUE,0,0,13547,重型坦克,RED,1,2,0,3,0,13607,30,步兵小队,BLUE,0,1,0,10,1,0,37,11,中号直瞄炮,1,0,5,100049,51,12,0,5,0,0,10,1,0,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
82,1867,5,10,BLUE,1,0,13548,重型坦克,RED,1,2,0,3,0,13541,30,坦克,BLUE,4,2,0,0,1,1,0,0,,0,0,10,80048,51,12,3,6,-1,2,10,0,2,1,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
83,1869,5,10,BLUE,2,0,13548,重型坦克,RED,1,2,0,2,0,13541,30,坦克,BLUE,4,2,0,0,0,1,0,0,,0,0,10,80048,51,9,2,0,0,2,0,1,1,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
84,1875,5,11,RED,0,0,13547,重型坦克,RED,1,2,0,3,0,13546,30,战车,BLUE,3,2,0,0,0,0,37,11,中号直瞄炮,5,-1,9,90056,0,7,3,6,0,3,11,1,3,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
85,1884,5,11,RED,1,0,13610,步兵小队,BLUE,0,1,11,3,0,13609,41,步兵小队,RED,0,1,0,0,1,1,0,0,,0,0,6,90052,51,10,0,9,0,0,11,0,0,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
86,1885,5,11,RED,1,0,13608,步兵小队,RED,0,1,0,1,0,13610,30,步兵小队,BLUE,0,1,0,11,0,1,0,0,,0,0,2,90052,51,6,0,5,0,0,0,0,0,3,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
87,1887,5,11,RED,2,0,13610,步兵小队,BLUE,0,1,11,2,0,13609,41,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,4,90052,51,7,0,0,0,0,0,0,0,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
88,1888,5,11,RED,2,0,13608,步兵小队,RED,0,1,0,1,0,13610,30,步兵小队,BLUE,0,1,0,11,0,1,0,0,,0,0,2,90052,51,8,0,0,0,0,0,0,0,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
89,1889,5,11,RED,2,0,13609,步兵小队,RED,0,1,0,2,0,13610,30,步兵小队,BLUE,0,1,0,11,0,1,0,0,,0,0,4,90052,51,8,0,0,0,0,0,0,0,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
90,1890,5,11,RED,3,0,13610,步兵小队,BLUE,0,1,11,2,0,13608,41,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,4,90052,51,7,0,0,0,0,0,0,0,1,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
91,1925,5,14,BLUE,1,0,13542,坦克,BLUE,1,2,0,2,0,13547,41,重型坦克,RED,3,2,0,14,0,1,0,0,,0,0,10,110048,51,12,1,5,0,1,14,1,1,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
92,1947,5,16,BLUE,1,0,13542,坦克,BLUE,1,2,0,2,0,13609,41,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,10,90050,51,3,1,9,1,2,16,1,2,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
93,1960,5,17,RED,1,0,13548,重型坦克,RED,1,2,0,2,0,13542,30,坦克,BLUE,4,2,0,0,0,0,37,11,中号直瞄炮,2,0,10,90050,51,4,1,4,-1,0,17,0,0,2,0,|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
94,1963,5,18,BLUE,0,0,13550,中型战车,RED,0,2,0,1,0,13542,30,坦克,BLUE,4,2,0,17,1,0,56,12,速射炮,1,0,5,80048,51,2,0,8,-1,0,0,0,0,2,0,|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
95,1977,5,20,BLUE,1,0,13544,战车,BLUE,0,2,19,2,0,13608,41,步兵小队,RED,0,1,0,0,0,1,0,0,,0,0,10,80051,51,5,1,6,0,1,20,1,1,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
96,1970,5,18,BLUE,1,0,13542,坦克,BLUE,1,2,17,2,0,13548,41,重型坦克,RED,3,2,0,18,0,1,0,0,,0,0,10,80048,51,9,2,8,0,2,18,1,1,0,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
97,1924,5,14,BLUE,1,0,13547,重型坦克,RED,1,2,14,1,0,13542,30,坦克,BLUE,4,2,0,0,1,1,0,0,,0,0,10,110048,51,10,1,9,0,1,14,0,1,2,0,|41|30|,推演室5,2018530154639 01-05-03-03-02 推演室5
